"hgnc_symbol","gene_id","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"STC2","ENSG00000113739.6",0.936208179271532,7.20568497215743,18.6473995284745,2.82734027798104e-12,5.02757648230588e-08,17.0831237993099
"BIRC6","ENSG00000115760.9",-1.04231681017458,6.18668358826768,-15.651681200777,4.05398576140791e-11,3.60439874046777e-07,14.8844625145146
"CEBPG","ENSG00000153879.4",0.570379618095414,6.99175593122114,13.4171822301669,4.03747459659458e-10,2.39314577588816e-06,13.1031522709593
"IFRD1","ENSG00000006652.9",0.65364656290654,6.64219026495351,12.1312317618577,1.76486540213446e-09,7.84570914518873e-06,11.7839353251215
"PSAT1","ENSG00000135069.9",0.718766492881278,8.63919764437051,11.3423954112617,4.65325611741831e-09,1.65488400559865e-05,10.9857655755187
"YARS","ENSG00000134684.6",0.338669564789615,8.07712721857688,10.1384654549387,2.27570338022781e-08,6.55831857436742e-05,9.51732264750228
"ASNS","ENSG00000070669.12",0.837977700310994,8.23549511802034,10.0471340029901,2.58172477902215e-08,6.55831857436742e-05,9.39789604466859
"SARS","ENSG00000031698.8",0.553592513687185,7.57884716767047,9.94588819576127,2.97225965247237e-08,6.60659014253296e-05,9.26043512416818
"TCEA1","ENSG00000187735.8",0.515020503668135,8.41295105747043,9.72052077785819,4.08252761973032e-08,8.06616734822718e-05,8.97303906158849
"PCK2","ENSG00000100889.7",0.778114312061003,6.96675184363643,9.40156135647493,6.45718017856774e-08,0.000114821577935292,8.51872821948973
"RBCK1","ENSG00000125826.15",0.474480379301757,6.71504879512061,9.27648880318772,7.75249520942799e-08,0.000124897472148568,8.34654191826664
"LONP1","ENSG00000196365.7",0.449706835131059,7.14886993048003,9.16552945189227,9.13095904809012e-08,0.000124897472148568,8.20233432792231
"SLC6A9","ENSG00000196517.7",0.826006188019374,5.32635559276376,9.20212764035079,8.64981733729487e-08,0.000124897472148568,8.06911898808182
"ZNF770","ENSG00000198146.4",0.357236446736501,6.50046837179621,8.87028630146839,1.4210226634076e-07,0.000176069213483741,7.77389794363348
"AARS","ENSG00000090861.11",0.328990687815169,9.00693400100626,8.8136858067404,1.54855264593057e-07,0.000176069213483741,7.71421281743157
"SLC1A5","ENSG00000105281.8",0.332835858366622,9.25632150046086,8.75898762975358,1.68326207919446e-07,0.000176069213483741,7.63520211878944
"TIMM44","ENSG00000104980.3",0.288741626183211,5.43117655526096,8.79721494117001,1.58788218918535e-07,0.000176069213483741,7.62439237445634
"XPOT","ENSG00000184575.7",0.495998105390591,8.84739000704286,8.72017880021494,1.78627066325457e-07,0.000176463694077738,7.57689660878067
"GARS","ENSG00000106105.9",0.496391570203492,8.65471583671415,8.60605475699161,2.12938433597325e-07,0.00018560267331647,7.40824280876715
"GPT2","ENSG00000166123.9",0.551545733037039,6.90815411492014,8.6084656587615,2.12146105908196e-07,0.00018560267331647,7.40009700583907
"MARS","ENSG00000166986.8",0.431325507856025,8.4173044881435,8.58058486014436,2.21501332795158e-07,0.00018560267331647,7.36978832940481
"GCC1","ENSG00000179562.2",0.367430060978351,5.9688031411745,8.55734905854237,2.29628771395925e-07,0.00018560267331647,7.30598781272034
"HERPUD1","ENSG00000051108.10",0.551488074479705,6.2819761668982,8.47258599903536,2.62033420314738e-07,0.000202586012175507,7.18664198661476
"LARS","ENSG00000133706.13",0.270978279124645,8.21555702250315,8.39572126370229,2.95578455080901e-07,0.00021048815484621,7.093059330182
"MTHFD2","ENSG00000065911.7",0.561661594256505,8.75693564619338,8.36938084951723,3.08086661987758e-07,0.00021048815484621,7.05441854745021
"ZFAND1","ENSG00000104231.6",0.447685076595704,6.24021688857469,8.34563096282992,3.19841233617628e-07,0.00021048815484621,6.99920360573162
"ANLN","ENSG00000011426.6",-0.406337452262619,7.66450002618135,-8.32307695803123,3.31440126852653e-07,0.00021048815484621,6.98130044072505
"SESN2","ENSG00000130766.4",0.834874373418867,5.60943874363116,8.32855029052409,3.28585369616971e-07,0.00021048815484621,6.91133667605466
"CARS","ENSG00000110619.12",0.409968688457313,6.65903198835071,8.17723401284417,4.17930705656681e-07,0.000256263579585762,6.75235639639845
"IARS","ENSG00000196305.13",0.399299531246056,9.26878692987873,8.13103949934253,4.50028366867792e-07,0.000266746813988103,6.6908729244555
"ATF4","ENSG00000128272.10",0.437090674832974,8.61117163121227,8.04153973740355,5.19795495412993e-07,0.000298161403207543,6.55105328824771
"PSPH","ENSG00000146733.9",0.445164125906969,6.10768011930678,8.0184719395996,5.39555844581159e-07,0.000299824438385693,6.49974376960389
"KIF20A","ENSG00000112984.7",-0.539606790282449,6.58312667235011,-7.90089062198938,6.53261827360726e-07,0.00035200914588268,6.32526257345799
"MIA2","ENSG00000150527.12",0.52634196007212,6.1381337783543,7.72290604920341,8.75521926675153e-07,0.000439938598402624,6.03670290481445
"KCTD15","ENSG00000153885.10",0.461849236705105,5.39624348643015,7.7125607934878,8.90664129034667e-07,0.000439938598402624,5.99831630044014
"ARHGEF2","ENSG00000116584.13",0.570919450767808,6.48755298720281,7.69063469076441,9.23670826606954e-07,0.000443911206452023,5.99091254597662
"RHBDD1","ENSG00000144468.12",0.378948246082467,5.19418595906731,7.6683021314584,9.5860872288202e-07,0.000448578429218107,5.92249408098381
"GRB10","ENSG00000106070.13",0.421720892194909,6.38198943324358,7.62714100714399,1.02667690559003e-06,0.000468112018851332,5.88970022408415
"GRPEL2","ENSG00000164284.10",0.418272679217384,5.64984438681113,7.61168336259216,1.05352989987822e-06,0.000468346716990865,5.85380101035794
"SHMT2","ENSG00000182199.6",0.387067857448372,8.22799281808636,7.58020850022225,1.11050605403352e-06,0.000470167110781524,5.81721095287992
"HSPA9","ENSG00000113013.8",0.350158047599987,9.40745949198924,7.58026156571334,1.11040732538761e-06,0.000470167110781524,5.81692973214496
"TARS","ENSG00000113407.9",0.293869543537106,8.71044079993679,7.47178305320576,1.33275707516673e-06,0.000551141542107322,5.64006439060586
"CDCA8","ENSG00000134690.6",-0.376538772021024,5.85719641368698,-7.45384791838047,1.37379427558417e-06,0.000555200222919037,5.60369024725112
"CHAC1","ENSG00000128965.7",1.25752162022074,4.8022028113036,7.73295852097109,8.61066375056381e-07,0.000439938598402624,5.60170398248008
"TRIB3","ENSG00000101255.6",1.1482221466815,7.10209754807685,7.35332394882917,1.62961292080187e-06,0.000643950599059976,5.44613114693838
"SLC7A5","ENSG00000103257.4",0.594441911153553,10.5239917876426,7.2782657497844,1.85285064801368e-06,0.00068613015599009,5.31814288972148
"SLC38A2","ENSG00000134294.9",0.420214853549998,8.90622633670563,7.25777594392207,1.91918918112622e-06,0.00068613015599009,5.28539448021407
"DDX21","ENSG00000165732.8",0.252514868951436,8.92087635688769,7.25472336327383,1.92928285904311e-06,0.00068613015599009,5.28018440384705
"DDIT4","ENSG00000168209.4",0.667014904230822,8.9415860204135,7.21495057649003,2.06598717279656e-06,0.000708367691656655,5.21376964401797
"CCPG1","ENSG00000260916.1",0.554627358064845,6.21759098915947,7.2096249874188,2.08504629834213e-06,0.000708367691656655,5.20793563570889
"DDIT3","ENSG00000175197.6",0.96638188522324,5.03845040187569,7.26753682750539,1.8872826428481e-06,0.00068613015599009,5.19530949999984
"EIF4EBP1","ENSG00000187840.4",0.511280941135508,7.46933129752523,7.20236636089455,2.1113197423126e-06,0.000708367691656655,5.19489872483257
"SPAG5","ENSG00000076382.12",-0.398704113002772,7.01262725174826,-7.18936902708197,2.1592331848035e-06,0.000711027490595848,5.17349690456708
NA,"ENSG00000212768.2",0.416646495959812,4.12299746422059,7.27400347075768,1.86645015093767e-06,0.00068613015599009,5.17282547569894
"TSEN15","ENSG00000198860.7",0.355036968192004,5.78496233505519,7.16787991054643,2.24095917006918e-06,0.000724522472039457,5.1373168725688
"SLC38A1","ENSG00000111371.11",0.350587278766695,8.61210837951368,7.15051669168823,2.30935264393218e-06,0.000733301941328607,5.10562203335588
"HSPA13","ENSG00000155304.4",0.468679759136361,6.09387189364664,7.10787093677945,2.48675327278536e-06,0.000775779766608234,5.03787966417662
"AIMP2","ENSG00000106305.5",0.315141730307552,5.74908380370532,7.06365134793272,2.68580153324743e-06,0.000823429704555273,4.96385877015047
"RSL24D1","ENSG00000137876.5",0.302870461350612,7.29219860956553,7.04271265276613,2.78579354736213e-06,0.000838376325760455,4.92580985464419
"WARS","ENSG00000140105.13",0.743898712263661,7.87605097400277,6.99360822941012,3.03584345980139e-06,0.000864592046715102,4.84129175106559
"RAB3GAP1","ENSG00000115839.13",0.290830160700291,7.02202054366249,6.98200650352197,3.09827553075454e-06,0.000864592046715102,4.82330319506044
"ERRFI1","ENSG00000116285.8",0.508516239916132,6.27491573519536,6.97952683589199,3.11179231749896e-06,0.000864592046715102,4.82228915031347
"RIOX2","ENSG00000170854.13",0.328209739224211,5.42522259397761,6.94201415922236,3.32395807153677e-06,0.00090933265273949,4.7572584227703
"GM2A","ENSG00000196743.4",-0.34074510399974,6.12408040608268,-6.90243763957158,3.56423617849084e-06,0.000958675974766486,4.69074000125696
"KIF2C","ENSG00000142945.8",-0.307145862324159,6.63998619335411,-6.89487897878805,3.61215219375518e-06,0.000958675974766486,4.67625910408263
"HSPA2","ENSG00000126803.8",-0.462703130402278,4.12673629658835,-7.01742689499301,2.91175004451117e-06,0.000848799004778649,4.67353086188586
"PYROXD1","ENSG00000121350.11",0.328614651707012,4.92067195878026,6.87608335790464,3.73423876246759e-06,0.000976503436385276,4.63422783385763
"PROSER1","ENSG00000120685.15",0.299652672652902,6.0556030066157,6.84385324125674,3.95371344043222e-06,0.00101891206373573,4.5913631949353
"AURKA","ENSG00000087586.13",-0.314495780790857,6.85611484178449,-6.80178022995949,4.26064741504187e-06,0.00107900096161081,4.51501925574072
"KLF4","ENSG00000136826.10",0.363297365295305,5.35316871078484,6.78351636600578,4.40152971333587e-06,0.00107900096161081,4.48052311366332
"LSS","ENSG00000160285.10",-0.348786733454264,6.71372816599095,-6.77893393468147,4.43763409857394e-06,0.00107900096161081,4.47479637745915
"CARHSP1","ENSG00000153048.6",-0.280929084731047,5.7689741797629,-6.77317371571858,4.48345677153861e-06,0.00107900096161081,4.47151681818712
"GTF2IP4","ENSG00000233369.3",-0.464095372916992,5.22245564084155,-6.77232186153115,4.49027506237768e-06,0.00107900096161081,4.46744803779691
"ESPL1","ENSG00000135476.7",-0.362309744035745,5.7012278517091,-6.73795688008505,4.77455076458085e-06,0.00113201415594369,4.41094800758505
"CBS","ENSG00000160200.13",0.514406410977195,7.04056153343353,6.68052421355586,5.29229488475077e-06,0.00122217646286543,4.30335564998364
"SLC43A1","ENSG00000149150.4",0.762027178067234,2.97721312168122,7.03393745266037,2.82884824798264e-06,0.000838376325760455,4.2064035227121
"C6orf48","ENSG00000204387.8",0.368646234394164,6.63744016851235,6.59317450178428,6.19472530932884e-06,0.00141223853141648,4.15215155853317
"NPC2","ENSG00000119655.4",-0.292750799676977,6.0547853539466,-6.55505436087827,6.63750873098401e-06,0.00145125721702061,4.08929776087745
"DDX49","ENSG00000105671.7",0.235861523846322,5.74056895631831,6.55051959939576,6.69233448406758e-06,0.00145125721702061,4.08603883830813
"PQLC3","ENSG00000162976.8",-0.312710457393618,4.19604451101907,-6.57807407373251,6.3663250903308e-06,0.0014253466468267,4.0752843700875
"NRM","ENSG00000137404.10",-0.56954364082311,4.5752487346098,-6.57407995934195,6.4125369331985e-06,0.0014253466468267,4.07156721860741
"GAS5","ENSG00000234741.3",0.553542897513151,7.31592314381756,6.52972794093141,6.94981440637836e-06,0.0014889349370388,4.03589896845135
"FDPS","ENSG00000160752.10",-0.309211905497464,7.12194733029771,-6.51864362545117,7.09127661577252e-06,0.00149495871387507,4.01553168265518
"CAPN1","ENSG00000014216.11",-0.226062166395306,8.37993058600178,-6.50634780944665,7.25171457782004e-06,0.00149495871387507,3.98806138735443
"EIF2S2","ENSG00000125977.6",0.262425215966526,8.56367911857574,6.50163418071931,7.31421707946975e-06,0.00149495871387507,3.97951258749051
"SLC3A2","ENSG00000168003.12",0.401541344064773,9.35538689713733,6.50275669387237,7.29928189289258e-06,0.00149495871387507,3.9790644372895
"TSPAN9","ENSG00000011105.7",-0.232732590056689,5.37258929063772,-6.4737978911735,7.69494349052509e-06,0.00153743241739907,3.95265434241613
"CALM3","ENSG00000160014.12",-0.267548813441536,7.90070892883157,-6.48463957650962,7.54426165694123e-06,0.00152445523617874,3.95166149989681
"USP40","ENSG00000085982.9",0.28260619722936,5.83162133996625,6.3933104070172,8.91632323383105e-06,0.00176166733048871,3.80637509965893
"DNAJB5","ENSG00000137094.10",-0.499664763612661,2.27200590287279,-6.72394281221568,4.89580867450584e-06,0.00114549039276399,3.79638129431227
"CBX4","ENSG00000141582.10",0.478946471243303,6.09991020052095,6.34803874777052,9.69041087958663e-06,0.00183228530110154,3.724361147223
"ZC3H8","ENSG00000144161.8",0.306522890038004,4.46927281607501,6.33489940706134,9.92793236705237e-06,0.00183228530110154,3.69818588077591
"NARS","ENSG00000134440.7",0.26445310887344,7.8839316111527,6.34317518616171,9.77763337045859e-06,0.00183228530110154,3.69813230198388
"RAB6A","ENSG00000175582.15",0.221135033570249,7.8252882953429,6.34086645709558,9.81932331962861e-06,0.00183228530110154,3.69413156374062
"ZNF598","ENSG00000167962.8",0.252723275557431,6.42526031942083,6.32612174067139,1.00899752706674e-05,0.00183228530110154,3.6796303496164
"DNAJC10","ENSG00000077232.12",0.324313164407295,7.17203158506582,6.31949183791946,1.02141911082239e-05,0.00183228530110154,3.65984293305642
