"hgnc_symbol","gene_id","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"STC2","ENSG00000113739.6",1.49192679078182,7.20568497215743,21.3249634781574,3.57710833978592e-13,6.36081404980732e-09,18.9751217036982
"CEBPG","ENSG00000153879.4",0.89540889044654,6.99175593122114,14.941101858088,8.14877575990216e-11,7.24507652812901e-07,14.6372113724169
"IFRD1","ENSG00000006652.9",0.978793482741122,6.64219026495351,12.9704165625002,6.64706942486323e-10,3.93993961709726e-06,12.7803668196214
"TCEA1","ENSG00000187735.8",0.887754664768034,8.41295105747043,11.8386322779536,2.51328914984935e-09,1.11728269156553e-05,11.6261346078624
"PSAT1","ENSG00000135069.9",0.998578342760663,8.63919764437051,11.1602813751756,5.86502363788131e-09,2.08583700657611e-05,10.8435973973029
"ZNF770","ENSG00000198146.4",0.612959746643826,6.50046837179621,10.6953209039978,1.07360540569128e-08,3.02069241944227e-05,10.2355135583688
"BIRC6","ENSG00000115760.9",-0.979110606379492,6.18668358826768,-10.4655480482938,1.45838281335992e-08,3.02069241944227e-05,9.93587082430639
"TIMM44","ENSG00000104980.3",0.488125693037103,5.43117655526096,10.4990514228346,1.39423717393691e-08,3.02069241944227e-05,9.92573298390885
"GPT2","ENSG00000166123.9",0.935544970032766,6.90815411492014,10.3788785003462,1.63918358464156e-08,3.02069241944227e-05,9.85795866843733
"SARS","ENSG00000031698.8",0.808199824962883,7.57884716767047,10.3139588808237,1.79001663664897e-08,3.02069241944227e-05,9.78681468291224
"LONP1","ENSG00000196365.7",0.707312750441091,7.14886993048003,10.2353291293755,1.99252589343574e-08,3.02069241944227e-05,9.68014925014956
"RBCK1","ENSG00000125826.15",0.727821266445635,6.71504879512061,10.218658463378,2.03848324335324e-08,3.02069241944227e-05,9.65441454546729
"YARS","ENSG00000134684.6",0.477779005575406,8.07712721857688,10.0872053309242,2.44243851816504e-08,3.34088013307775e-05,9.49518980894746
"XPOT","ENSG00000184575.7",0.800831459312853,8.84739000704286,9.98774779125504,2.80374030804996e-08,3.56115072555317e-05,9.37109774468672
"SLC6A9","ENSG00000196517.7",1.18272951906757,5.32635559276376,9.92635482509229,3.05451728105118e-08,3.62102841944347e-05,9.15858795343959
"ASNS","ENSG00000070669.12",1.13241804187337,8.23549511802034,9.68753258558292,4.2785972561429e-08,4.21844091365312e-05,8.96518780573664
"ZFAND1","ENSG00000104231.6",0.738996303435728,6.24021688857469,9.70202883253293,4.19124317239052e-08,4.21844091365312e-05,8.95087209449026
"PCK2","ENSG00000100889.7",1.11386277530515,6.96675184363643,9.66772947294002,4.40103998433942e-08,4.21844091365312e-05,8.92729339741736
"HSPA9","ENSG00000113013.8",0.630885432446245,9.40745949198924,9.65099441338312,4.5073882217641e-08,4.21844091365312e-05,8.91899438315505
"GCC1","ENSG00000179562.2",0.574704875982553,5.9688031411745,9.566020919355,5.09072317674551e-08,4.26802613009099e-05,8.76742964230865
