"hgnc_symbol","gene_id","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"BIRC6","ENSG00000115760.9",-1.10552301396968,6.18668358826768,-11.661861391317,3.12240624742383e-09,5.55226278916906e-05,2.34283347321799
"STC2","ENSG00000113739.6",0.380489567761243,7.20568497215743,5.28259682155208,7.44478969569519e-05,0.661916251844259,-0.428776562790192
"PSAT1","ENSG00000135069.9",0.438954643001892,8.63919764437051,4.89026914984987,0.000163564924268835,0.969503827782805,-0.623736122980885
"ASNS","ENSG00000070669.12",0.543537358748617,8.23549511802034,4.56753298966852,0.000316505319518771,0.998900505169911,-0.994418692649542
"YARS","ENSG00000134684.6",0.199560124003822,8.07712721857688,4.23543547692896,0.000630538336332807,0.998900505169911,-1.31075125611014
"IFRD1","ENSG00000006652.9",0.328499643071959,6.64219026495351,4.27018001119701,0.000586435073365374,0.998900505169911,-1.42330023324779
"MARS","ENSG00000166986.8",0.292576685144624,8.4173044881435,4.10908951834547,0.00082133626429367,0.998900505169911,-1.44868512464773
"GTF2IP4","ENSG00000233369.3",-0.463094755136341,5.22245564084155,-4.57519328400096,0.000311547793440297,0.998900505169911,-1.55954857380402
"CEBPG","ENSG00000153879.4",0.245350345744288,6.99175593122114,4.06816721707211,0.000894945499712055,0.998900505169911,-1.57266380217312
"NRBP1","ENSG00000115216.9",-0.168538835163291,6.97545009961188,-4.03599629821943,0.000957477233650331,0.998900505169911,-1.57418618999593
"GALM","ENSG00000143891.12",-0.253076530072215,4.01527238651187,-4.33012688501563,0.000517576633070218,0.998900505169911,-1.59859110701163
"AARS","ENSG00000090861.11",0.203765936610141,9.00693400100626,3.85218775742427,0.00140965666119718,0.998900505169911,-1.72217478716489
"CBS","ENSG00000160200.13",0.428497008556096,7.04056153343353,3.88735038413955,0.00130897833256465,0.998900505169911,-1.78538721892008
"SARS","ENSG00000031698.8",0.298985202411489,7.57884716767047,3.78126804799859,0.00163707841186459,0.998900505169911,-1.85636319685018
"PCK2","ENSG00000100889.7",0.442365848816851,6.96675184363643,3.72204420620295,0.00185504411229128,0.998900505169911,-1.99373635424381
"KIF2C","ENSG00000142945.8",-0.222087689681999,6.63998619335411,-3.62860592450356,0.00225968690360358,0.998900505169911,-2.02382796868465
"GTF3C2","ENSG00000115207.9",-0.166631590082535,6.60633389932876,-3.62234052675402,0.00228978969885298,0.998900505169911,-2.07595453631341
"HMGCR","ENSG00000113161.11",-0.281526467594936,7.14845843044141,-3.55139092730161,0.0026599923978394,0.998900505169911,-2.12251394629092
NA,"ENSG00000226958.1",-0.587879080134587,5.28266150160691,-3.82020012447679,0.00150800756734274,0.998900505169911,-2.12383216695458
"KIF20A","ENSG00000112984.7",-0.332781831277274,6.58312667235011,-3.51112713102869,0.00289609152734232,0.998900505169911,-2.17572511351928
"MSH2","ENSG00000095002.8",-0.221274749730508,7.10068461471826,-3.38514695817377,0.00377832850330673,0.998900505169911,-2.30971088684437
"MMADHC","ENSG00000168288.8",0.228588197912722,6.96327058915839,3.37722921168755,0.00384195805106683,0.998900505169911,-2.32561529781222
"ITGB1BP1","ENSG00000119185.8",-0.163217136965107,6.1392848897597,-3.39830052182883,0.00367492847149305,0.998900505169911,-2.32934656130083
"UBE2M","ENSG00000130725.3",0.200749696766407,6.55315744892037,3.39528860235432,0.00369835409334739,0.998900505169911,-2.34191245919182
"RPL41P1","ENSG00000227063.4",0.251127814302572,8.46085089826268,3.30863480189574,0.00443965143770664,0.998900505169911,-2.37270407988083
"TRMT61B","ENSG00000171103.6",-0.229786762265542,4.85385536765979,-3.62985004744142,0.00225375669067053,0.998900505169911,-2.37463161245968
"SLC38A2","ENSG00000134294.9",0.270417669990973,8.90622633670563,3.29921842767375,0.00452859214662431,0.998900505169911,-2.37681056461395
"DHCR24","ENSG00000116133.7",-0.32500994162514,8.86772471448205,-3.29515847251078,0.00456748207758583,0.998900505169911,-2.38379699461441
"CD276","ENSG00000103855.13",-0.208823592878449,6.79708477360287,-3.31563370503213,0.00437466768909341,0.998900505169911,-2.40451126118163
"METTL5","ENSG00000138382.9",0.178845784138287,5.72057707901594,3.3649787943341,0.00394250938523509,0.998900505169911,-2.42239460118282
"GARS","ENSG00000106105.9",0.264963920530425,8.65471583671415,3.24913873902131,0.00503208771604423,0.998900505169911,-2.44078842293196
"SHMT2","ENSG00000182199.6",0.234637857222022,8.22799281808636,3.23656081226689,0.00516700750675643,0.998900505169911,-2.46872762640559
"SGO2","ENSG00000163535.13",-0.286527350572423,5.18735694423894,-3.29657930831202,0.00455383455171619,0.998900505169911,-2.49062797395313
"CARS","ENSG00000110619.12",0.22504501205024,6.65903198835071,3.21056910834062,0.0054572360423047,0.998900505169911,-2.5353857852496
"KIF15","ENSG00000163808.12",-0.275675388750624,4.92946091265874,-3.36400306713858,0.00395062958767081,0.998900505169911,-2.55315764153716
"DDIT4","ENSG00000168209.4",0.411530720643711,8.9415860204135,3.14298867916777,0.00628926137036575,0.998900505169911,-2.56739691145723
"MED10","ENSG00000133398.3",0.188467805604827,5.44342296753633,3.28322054481198,0.00468376026113484,0.998900505169911,-2.64190206133435
