"hgnc_symbol","gene_id","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"STC2","ENSG00000113739.6",1.11143817485735,7.20568497215743,11.0706925078895,6.57780393607191e-09,0.000116966509591231,10.4822112482838
"CEBPG","ENSG00000153879.4",0.650058106816189,6.99175593122114,7.64905189212262,9.89684386969496e-07,0.00879928388454579,5.90670271938551
"TCEA1","ENSG00000187735.8",0.745468173518118,8.41295105747043,7.03613966944882,2.81760408576614e-06,0.0167008786176978,4.91732894248872
"SEPHS2","ENSG00000179918.15",0.621109768843058,7.07694421044942,6.62171910458293,5.88267920371221e-06,0.0261514504001026,4.21094279197119
"LTO1","ENSG00000149716.8",0.554048745144567,4.24820614899091,6.40124305609279,8.78645950909913e-06,0.0282679540061564,3.75117798101372
"ZNF770","ENSG00000198146.4",0.511447123305029,6.50046837179621,6.35361518559585,9.59033111049238e-06,0.0282679540061564,3.7429295547899
"MIA2","ENSG00000150527.12",0.847315672762035,6.1381337783543,6.21742321294562,1.23394349845644e-05,0.0282679540061564,3.50294249674742
"TIMM44","ENSG00000104980.3",0.3987691792936,5.43117655526096,6.07878927201959,1.59900322695007e-05,0.0282679540061564,3.25600425217356
"HSPA9","ENSG00000113013.8",0.561454743022693,9.40745949198924,6.07932408883584,1.59739731613718e-05,0.0282679540061564,3.24240574776406
"IFRD1","ENSG00000006652.9",0.650294083776172,6.64219026495351,6.03848268632777,1.72498956561597e-05,0.0282679540061564,3.1797308534619
"GPT2","ENSG00000166123.9",0.767997749850163,6.90815411492014,5.99902684506537,1.85832228392953e-05,0.0282679540061564,3.10565488905241
"RAB6A","ENSG00000175582.15",0.414219258426409,7.8252882953429,5.9421347725326,2.06969196937994e-05,0.0282679540061564,2.99604684413649
"ARHGEF2","ENSG00000116584.13",0.876589300665683,6.48755298720281,5.90555409973823,2.21864378792676e-05,0.0282679540061564,2.93888708680256
"HSPD1","ENSG00000144381.12",0.374487673831409,9.96490437735962,5.85050208156542,2.46409157097903e-05,0.0284791586435577,2.82023779938731
"KLF4","ENSG00000136826.10",0.619901654066122,5.35316871078484,5.79079648245441,2.76233978932479e-05,0.0288940741963373,2.7356741449185
"PLD6","ENSG00000179598.5",0.73545789852926,2.81395900530183,5.90391498433338,2.22557280444376e-05,0.0282679540061564,2.63121846756773
"DDX49","ENSG00000105671.7",0.402135166133501,5.74056895631831,5.58654338649946,4.09805458699009e-05,0.0383534771925567,2.35826183580463
"CAPN1","ENSG00000014216.11",-0.384656017119745,8.37993058600178,-5.53886865256968,4.49678429520531e-05,0.0399809091686704,2.24018973443516
"ZFAND1","ENSG00000104231.6",0.582619552711703,6.24021688857469,5.43158529103109,5.54764626078161e-05,0.0443299162721095,2.05856844790506
"RIOX2","ENSG00000170854.13",0.505683671700492,5.42522259397761,5.35215532440564,6.4870106814343e-05,0.0443299162721095,1.92361165738301
"XPOT","ENSG00000184575.7",0.609666657492397,8.84739000704286,5.36084191576094,6.3767338104438e-05,0.0443299162721095,1.89932128173676
"SEMA3F","ENSG00000001617.7",-0.786596651418158,5.68399653667172,-5.33015473653382,6.77520198026952e-05,0.0443299162721095,1.87682185748944
"OGDH","ENSG00000105953.10",-0.337072793710104,7.32014999548616,-5.34210560075408,6.61705195460059e-05,0.0443299162721095,1.87131046888799
"","ENSG00000255508.3",-1.37125947248184,1.91203056972709,-5.65278068168063,3.60384232501653e-05,0.0356019579019132,1.85887227318412
"PROSER1","ENSG00000120685.15",0.465190161914171,6.0556030066157,5.31502273267662,6.9810612130489e-05,0.0443299162721095,1.83883820316944
"PMS2CL","ENSG00000187953.6",0.495223903068435,4.20682389983786,5.26587491795269,7.69532154166114e-05,0.0443299162721095,1.77015591157234
"DNAJA3","ENSG00000103423.9",0.325751743901187,6.83203982360207,5.26222990716391,7.75120902637998e-05,0.0443299162721095,1.72358344958502
"EHD2","ENSG00000024422.7",-0.612149304551517,6.00529911530584,-5.24774363479851,7.9774902750394e-05,0.0443299162721095,1.72267464944852
"LONP1","ENSG00000196365.7",0.515211381289259,7.14886993048003,5.2530882804026,7.8932223368842e-05,0.0443299162721095,1.70370013567566
"","ENSG00000260276.1",1.35420969275941,1.09982896082629,5.83000714287734,2.56251568044609e-05,0.0284791586435577,1.66901188451855
