"","SW837.sgCh2.2","SW837.sgBIRC6.1","SW837.sgBIRC6.4","SNU503.sgCh2.2","SNU503.sgBIRC6.1","SNU503.sgBIRC6.4","HCC15.sgCh2.2","HCC15.sgBIRC6.1","HCC15.sgBIRC6.4","HCC95.sgCh2.2","HCC95.sgBIRC6.1","HCC95.sgBIRC6.4","JIMT1.sgCh2.2","JIMT1.sgBIRC6.1","JIMT1.sgBIRC6.4","HCC202.sgCh2.2","HCC202.sgBIRC6.1","HCC202.sgBIRC6.4"
"CASP10 (ENSG00000003400.10)",8.28,9.0675,7.535,2.0975,2.9575,2.0425,3.195,3.9375,4.595,2.23,3.0025,2.1675,4.5675,4.9025,4.1425,0.13,0.2725,0.535
"CFLAR (ENSG00000003402.15)",53.09,55.7875,55.0075,14.9675,12.895,16.4725,22.66,27.2975,26.3225,12.94,14.6375,15.115,29.7975,33.675,34.32,30.565,37.8725,37.935
"TFPI (ENSG00000003436.10)",0,0,0.04,4.69,0.9075,2.74,38.6775,43.6175,37.84,0.1275,0,0.015,40.145,48.1675,48.6975,1.5225,0.07,0.53
"NDUFAF7 (ENSG00000003509.11)",15.1975,18.9825,17.915,18.0975,18.27,21.82,15.2175,15.6875,14.015,16.205,12.615,14.7075,19.7575,19.03,19.6675,10.5025,14.2525,12.89
"RBM5 (ENSG00000003756.12)",18.9,20.6175,22.935,34.93,35.165,31.935,32.6575,25.3525,31.6375,26.41,30.695,29.4375,39.08,42.2225,31.1875,35.285,45.9725,40.235
"MTMR7 (ENSG00000003987.9)",0.0425,0.0825,0,3.1725,1.165,1.3325,0.21,0.215,0.32,1.26,1.415,1.26,0.245,0.245,0.2375,0.2,0.2175,0.1725
"SLC7A2 (ENSG00000003989.12)",2.105,2.175,2.3625,3.6325,2.0875,1.88,5.1,5.2775,5.005,2.18,3.6725,4.0275,0.6875,0.7475,0.5325,4.025,7.185,9.0925
"ARF5 (ENSG00000004059.6)",199.0525,179.33,186.74,221.49,183.055,177.4725,163.07,153.63,154.72,253.28,251.9625,231.54,153.6025,146.5475,144.6625,469.3175,443.0625,443.9925
"SARM1 (ENSG00000004139.9)",2.45,3.6075,1.4525,1.9125,1.8,2.27,0.45,0.265,0.265,12.185,11.7775,12.5125,1.05,1.6225,1.865,0.78,1.8275,1.64
"POLDIP2 (ENSG00000004142.7)",123.705,120.84,118.9975,105.2475,114.0525,114.13,60.5775,65.02,63.645,193.785,208.0475,207.9925,140.3725,147.545,149.6125,306.24,329.0825,322.6275
"PLXND1 (ENSG00000004399.8)",38.575,39.7925,39.275,40.4025,25.935,23.52,52.845,46.825,49.805,21.525,18.245,19.2575,32.7575,26.05,30.4,22.395,14.355,11.915
"AK2 (ENSG00000004455.12)",334.2275,350.2275,333.07,140.8375,160.905,169.8825,246.5975,270.265,270.43,171.9725,185.055,201.195,234.5725,254.355,239.845,279.395,279.9325,281.975
"FKBP4 (ENSG00000004478.5)",278.88,290.1425,286.68,271.77,276.2175,283.4275,174.4275,178.9625,191.41,257.955,279.905,309.325,270.7325,269.445,266.385,190.79,160.8725,159.215
"KDM1A (ENSG00000004487.11)",143.2125,133.2375,127.955,139.4675,121.1175,116.485,73.4325,73.4025,73.1675,71.4375,69.765,72.5225,87.8175,84.08,78.26,136.9275,130.545,123.3975
"RBM6 (ENSG00000004534.10)",25.1975,22.9925,19.97,26.6025,26.5475,22.1925,20.1125,20.2775,19.9575,21.0025,22.5825,21.315,49.9575,53.8525,45.9625,15.0875,20.8475,20.1475
"CAMKK1 (ENSG00000004660.10)",4.48,4.095,4.0975,8.1825,6.12,6.1575,2.605,2.625,2.5075,6.2325,5.99,5.21,6.2775,5.67,5.7475,12.0225,13.625,11.705
"RECQL (ENSG00000004700.11)",35.095,37.37,29.435,35.1625,23.92,21.27,79.1925,80.13,78.8275,67.8125,61.885,64.94,48.49,44.9175,39.4175,22.8225,21.855,17.3925
"VPS50 (ENSG00000004766.11)",11.9725,13.0925,12.44,13.055,12.3675,15.4225,17.3,15.665,14.785,11.2225,11.97,11.9425,10.5825,9.8625,10.96,26.8925,29.44,27.56
"ARHGAP33 (ENSG00000004777.14)",3.735,3.1225,3.4575,6.2375,1.935,3.4575,10.05,8.7675,9.6525,2.2925,3.5475,1.4075,6.685,4.16,4.18,10.8875,11.24,11.1775
"NDUFAB1 (ENSG00000004779.5)",245.57,265.4625,283.1175,146.7875,128.845,120.715,227.9725,223.455,198.7625,135.0975,138.745,141.5775,174.315,171.18,166.6725,161.0975,141.945,150.49
"PDK4 (ENSG00000004799.7)",0.6875,0.53,0.6175,0.06,0.0775,0.045,178.37,169.0375,135.305,0.2325,0.22,0.0875,0.5475,0.555,0.88,6.0375,6.665,5.255
"ZMYND10 (ENSG00000004838.9)",0.45,0.675,0.0525,1.885,1.485,1.2175,0.8025,0.615,0.9375,0.195,0.0475,0,0.61,0.925,0.92,11.05,6.2575,8.4025
"ABCB5 (ENSG00000004846.12)",0,0,0,0,0,0,0.505,0.41,0.45,0.0525,0,0,0,0,0,0,0,0
"SLC25A13 (ENSG00000004864.9)",30.3175,30.91,28.2575,31.775,26.4675,28.84,24.0475,24.55,24.6425,27.2825,26.3025,30.405,10.76,12.07,11.4475,44.225,39.92,44.875
"ST7 (ENSG00000004866.14)",18.995,18.8675,19.22,12.0425,9.605,12.14,19.9925,16.645,17.59,18.275,12.8775,16.2625,16.8025,18.07,16.13,33.41,30.4675,32.1025
"CDC27 (ENSG00000004897.7)",56.205,47.67,46.355,69.1,66.14,56.77,89.0175,78.865,76.185,69.2125,64.335,68.645,57.2175,60.845,58.1075,41.555,36.235,44.2925
"HCCS (ENSG00000004961.10)",50.2625,54.075,53.1625,35.8275,37.5675,37.8975,52.5725,50.69,54.3725,20.265,19.9275,19.7825,37.845,39.23,43.6125,40.0775,42.49,44.45
"DVL2 (ENSG00000004975.7)",27.17,25.44,24.16,42.235,37.8525,42.64,34.4925,38.6675,36.585,39.49,39.075,38.7825,21.0475,19.2575,20.67,69.6525,67.855,71.8825
"PRSS22 (ENSG00000005001.5)",51.495,67.1625,66.18,3.0125,3.0325,2.2275,0,0.59,0.23,28.465,20.1775,16.02,31.785,28.41,32.65,22.1125,25.06,21.5775
"UPF1 (ENSG00000005007.8)",37.3825,36.42,32.97,87.23,90.31,88.14,24.915,24.0875,25.9425,53.0175,47.6375,52.77,47.65,45.0425,42.775,71.6875,68.8675,67.56
"SKAP2 (ENSG00000005020.8)",32.3725,34.3525,30.2975,19.66,15.85,14.5975,17.585,19.835,18.3625,19.2675,18.6325,19.1025,36.9275,41.3075,37.3625,9.3525,10.305,9.38
"SLC25A5 (ENSG00000005022.5)",771.8225,769.8625,802.4775,573.875,515.61,494.49,594.025,585.845,574.46,701.905,674.445,679.78,781.8675,732.45,718.69,491.9,392.3075,385.71
"MCUB (ENSG00000005059.11)",6.9775,7.25,6.86,9.1875,5.3075,5.8875,11.45,12.77,11.4525,8.33,6.945,7.4025,18.4025,17.3225,16.8225,55.1925,45.765,46.1225
"HOXA11 (ENSG00000005073.5)",4.99,4.215,4.0025,0,0.27,0,2.2775,2.6475,2.6675,1.93,1.6225,1.8925,1.4775,1.615,1.9475,0,0,0
"POLR2J (ENSG00000005075.11)",122.22,116.1425,120.9225,112.5825,112.14,96.1475,115.42,104.6075,128.6825,177.9675,169.23,156.465,93.02,79.0075,91.6375,199.3875,208.265,217.45
"DHX33 (ENSG00000005100.8)",12.87,13.7925,11.35,23.3225,25.425,25.2925,25.1075,25.845,27.0875,20.235,22.355,23.335,16.31,16.3775,15.11,8.6875,8.78,9.5025
"THSD7A (ENSG00000005108.11)",0.0275,0.0225,0,0.025,0.165,0.2775,0.045,0.0475,0.04,0,0,0,0,0,0,1.845,1.805,1.71
"LIG3 (ENSG00000005156.7)",29.455,32.7875,29.775,35.27,34.0125,35.75,15.3775,21.0525,15.6575,32.9425,26.54,26.7725,20.5325,18.3075,18.26,26.3175,29.5,31.5875
"RPAP3 (ENSG00000005175.5)",52,50.8175,53.3375,70.7575,63.3275,67.4575,50.9825,49.9625,48.23,51.5975,50.475,56.765,42,44.5375,37.385,34.175,44.645,43.1775
"ACSM3 (ENSG00000005187.7)",6.0575,6.62,5.405,0.6625,0.0725,0.26,2.54,2.69,2.685,2.485,3.1025,2.8925,0.8725,1.155,1.6,1.11,1.6975,2.8375
"REXO5 (ENSG00000005189.15)",13.6775,12.8625,12.04,5.35,3.5625,2.455,10.7225,7.1675,8.6375,5.53,4.75,5.0575,9.6975,10.8125,8.685,8.38,7.5875,6.94
"CIAPIN1 (ENSG00000005194.10)",72.045,73.53,75.16,70.51,69.27,74.1025,88.29,86.68,85.3825,52.145,51.74,56.78,66.9925,78.3275,65.5925,75.1025,78.455,76.6375
"SPPL2B (ENSG00000005206.12)",30.9125,29.12,24.5875,39.26,31.73,28.225,12.145,10.6125,11.2525,12.7175,14.845,13.365,20.285,20.69,21.29,18.7725,24.4475,26.4175
"FAM214B (ENSG00000005238.15)",14.33,15.2925,14.98,5.795,3.735,4.1675,5.645,5.4025,4.725,2.22,1.3525,1.6425,22.3025,19.765,22.205,10.215,11.1825,10.195
"COPZ2 (ENSG00000005243.5)",3.6975,2.73,2.875,15.3175,17.43,17.355,17.0575,17.6125,13.1475,0,0.2075,0,2.04,3.3725,1.2475,0.2,0.9525,0.52
"PRKAR2B (ENSG00000005249.8)",0.195,0.1325,0.4375,4.075,1.9975,2.1375,0.13,0.06,0.105,7.31,6.4925,5.175,1.5875,1.015,1.02,12.39,16.2975,14.8775
"MSL3 (ENSG00000005302.13)",14.535,14.1,14.94,16.7375,12.8575,13.555,16.605,19.415,17.585,8.1975,5.9075,7.31,15.2325,15.1275,15.8225,18.0175,18.73,18.4775
"CREBBP (ENSG00000005339.8)",24.57,24.1075,23.7125,24.0625,29.18,30.1775,13.87,15.87,15.6975,18.1575,17.5975,18.8675,13.695,13.0425,17.4075,12.7525,16.6425,14.55
"TSPOAP1 (ENSG00000005379.11)",6.89,5.2075,5.415,0,0.025,0.1125,2.8175,3.3775,1.71,0,0,0,0,0,0,4.255,3.8975,3.7725
"GCFC2 (ENSG00000005436.9)",20.8875,18.66,17.655,29.0275,30.2075,31.5375,25.02,24.5775,27.6325,25.5375,21.11,23.41,11.7875,16.5625,11.85,17.2125,20.17,17.1875
"WDR54 (ENSG00000005448.12)",59.0175,53.705,51.13,136.5075,93.77,96.18,31.48,27.505,31.61,59.7275,47.98,39.2125,33.675,28.6975,29.045,44.65,37.2475,35.545
"CROT (ENSG00000005469.7)",6.1925,7.4225,5.3575,8.8125,7.0075,6.51,8.7775,9.075,8.4575,20.635,17.185,15.9975,5.0275,4.9375,5.2225,24.16,24.5675,21.2175
"KMT2E (ENSG00000005483.15)",31.135,28.915,26.315,17.6075,14.3375,15.2325,20.6575,23.0175,24.9925,39.895,34.315,36.8575,12.64,11.3725,13.11,48.3675,52.5175,49.515
"RHBDD2 (ENSG00000005486.12)",102.0675,97.775,101.0875,68.4925,48.2925,50.9225,97.485,89.81,92.1025,75.61,73.695,71.0375,41.69,42.4025,49.515,98.2225,106.0375,104.24
"SOX8 (ENSG00000005513.9)",1.8875,1.7925,1.7225,2.9925,2.79,1.895,0.1975,0.2075,0.35,1.125,1.56,1.72,0.16,0.1425,0.095,0,0,0
"IBTK (ENSG00000005700.10)",13.475,15.7575,13.19,6.745,6.6875,5.92,35.0675,37.5925,35.45,24.8925,25.0125,27.4775,31.51,32.6225,32.1975,10.625,15.3425,13.7375
"ZNF195 (ENSG00000005801.12)",15.405,18.74,16.0725,12.75,13.66,17.775,24.535,23.97,26.345,10.31,12.4375,10.1825,8.4875,10.2775,11.7275,18.81,25.3875,22.8825
"MYCBP2 (ENSG00000005810.13)",15.7275,13.8625,14.635,17.05,18.9325,19.3225,9.9425,12.3825,12.3075,16.8725,18.3825,18.7875,26.1525,22.5625,21.3025,19.9,25.5425,17.0925
"FBXL3 (ENSG00000005812.6)",15.495,15.8425,15.4475,23.9375,25.0275,28.95,15.215,16.2775,15.3625,24.6125,23.48,25.205,25.3325,28.405,27.735,21.5875,24.705,27.15
"PDK2 (ENSG00000005882.7)",21.135,26.985,20.35,27.12,22.035,20.03,25.5725,21.3375,21.325,27.5275,23.1675,20.675,44.0675,50.63,49.5175,89.3225,80.26,82.8325
"ITGA3 (ENSG00000005884.13)",149.8525,166.64,148.9425,120.2475,106.6225,102.0625,76.685,80.67,83.515,249.53,175.5325,177.6575,758.335,809.0825,810.17,67.7725,72.885,67.5125
"ZFX (ENSG00000005889.11)",11.5975,12.11,11.71,24.985,16.7025,17.0175,10.3525,9.5325,12.13,8.515,7.3275,8.05,19.31,19.88,20.2475,18.8575,13.4075,18.0125
"LAMP2 (ENSG00000005893.11)",58.975,54.97,58.285,83.5,72.6075,73.45,63.3825,56.9225,56.2125,130.14,108.5375,110.22,165.0825,158.76,160.345,54.2075,61.0175,60.105
"NA (ENSG00000005955.8)",50.585,52.02,47.29,51.785,55.61,54.9975,62.0225,65.17,67.4075,53.795,51.1925,54.34,45.3625,47.7675,43.035,38.7625,49.4975,45.175
"ITGA2B (ENSG00000005961.13)",1.065,0.19,0.625,1.83,0.5925,0.305,0.33,0.9075,0.675,1.72,4.27,0.85,0,0,0,0.8925,0.28,0.6475
"GDE1 (ENSG00000006007.7)",50.72,49.8725,44.31,59.735,50.24,55.3725,72.9775,66.315,64.09,93.8075,72.93,79.83,55.305,59.2675,61.3325,63.58,56.035,59.5025
"REX1BD (ENSG00000006015.13)",28.225,30.13,30.235,81.7625,74.72,59.0325,21.66,25.2425,20.6875,54.4625,49.55,47.5675,30.1225,25.6,30.2225,42.4675,56.215,49.625
"CRLF1 (ENSG00000006016.6)",1.8,1.1575,0.605,16.1925,10.32,9.645,2.085,1.2525,1.9475,18.275,15.475,13.54,10.3475,10.3025,10.98,9.1175,5.545,8.8225
"OSBPL7 (ENSG00000006025.7)",12.745,11.8325,9.98,4.2375,5.6775,3.19,5.5025,6.24,5.895,4.95,4.99,4.99,4.3825,4.8925,4.925,4.425,5.7975,4.42
"TMEM98 (ENSG00000006042.7)",2.435,3.2275,2.415,12.65,11.7725,7.57,16.3175,15.795,15.185,25.525,20.32,18.26,16.675,14.8325,16.52,0,0,0
"YBX2 (ENSG00000006047.8)",16.8575,15.7075,15.3175,9.01,5.22,5.7575,11.4025,10.3025,10.5725,0,0,0,30.2725,23.87,26.7325,45.6825,32.4775,34.2475
"MAP3K14 (ENSG00000006062.9)",5.055,4.465,3.7075,3.5175,3.22,2.875,36.67,35.825,42.1525,20.9875,18.4925,17.6075,6.3025,5.7975,5.9575,12.3675,11.29,12.3225
"ABCC8 (ENSG00000006071.7)",0.03,0,0,1.47,1.275,0.1625,0,0,0,1.225,0.3225,1.79,0,0,0,3.4825,3.7075,4.1575
"NA (ENSG00000006114.11)",15.665,17.04,14.475,24.6275,24.6025,26.7225,14.455,12.795,14.845,14.4775,11.1675,13.67,8.87,8.685,8.545,22.35,20.785,16.765
"TMEM132A (ENSG00000006118.10)",40.145,43.615,39.31,55.78,39.42,33.7775,14.725,13.6975,11.38,88.2775,80.1875,73.455,74.445,72.185,75.52,284.4475,270.9,249.9775
"AP2B1 (ENSG00000006125.12)",118.3075,128.2775,112.15,120.9275,126.095,126.76,131.63,138.14,133.1675,145.0675,128.355,131.38,76,78.0175,77.6175,80.155,85.9475,74.2375
"ZNF263 (ENSG00000006194.6)",43.3275,42.78,38.755,25.77,28.3525,31.525,29.6,28.2225,28.8225,25.3825,28.085,28.4725,30.61,35.4125,31.9375,14.5375,17.6925,17.51
"CX3CL1 (ENSG00000006210.6)",7.6775,6.985,6.1525,63.9275,72.9925,68.52,0,0,0.055,8.775,4.71,4.08,0.0375,0,0,4.47,5.0325,5.945
"SPATA20 (ENSG00000006282.15)",58.51,55.02,52.1175,39.57,35.28,33.035,66.7225,62.9825,64.95,26.5025,22.3875,19.1125,29.41,28.24,30.9775,150.4325,199.755,164.54
"CACNA1G (ENSG00000006283.13)",0.1225,0.3225,0.1275,0.245,0.1225,0.07,0.2075,0.2525,0.21,0.545,0.5425,0.675,0,0,0,0.1825,0,0.1375
"TNFRSF12A (ENSG00000006327.9)",355.3325,408.9325,401.925,102.32,87.71,76.5325,112.5375,101.0375,115.5,156.39,121.365,147.2625,269.37,250.91,259.455,152.1725,111.2725,123.875
"DLX6 (ENSG00000006377.9)",7.6975,8.3175,8.01,18.855,14.0575,13.1525,0,0,0,11.28,12.33,12.335,0,0,0,0,0,0
"MAP3K9 (ENSG00000006432.11)",14.5375,14.0725,11.765,5.13,6.0125,5.7825,1.7625,1.7275,1.9075,7.225,6.835,7.1675,9.8925,10.205,8.1125,6.8475,7.55,6.6425
"RALA (ENSG00000006451.3)",52.795,55.1775,54.4475,74.9,65.95,70.3075,48.02,46.6875,44.64,34.8875,34.235,38.02,37.9825,37.0075,38.2725,50.1075,51.1875,52.22
"BAIAP2L1 (ENSG00000006453.9)",46.02,42.1225,39.055,27.735,23.3725,23.8525,47.51,46.04,49.2325,48.735,46.8575,51.04,37.03,37.3475,32.4575,45.305,42.7375,40.6425
"KDM7A (ENSG00000006459.6)",7.6075,9.135,8.485,3.8925,5.4925,6.5125,6.6225,6.42,4.92,2.5675,2.3675,3.325,2.9425,4.195,3.02,7.6425,14.1475,12.0675
"ETV1 (ENSG00000006468.9)",4.6175,3.1125,3.4875,9.325,8.835,7.33,6.265,7.9325,5.6175,0.7875,0.34,0.5175,4.945,8.82,7.59,10.0175,9.905,8.02
"AGK (ENSG00000006530.11)",26.0725,27.7375,21.8275,20.6925,22.3725,18.9,28.385,25.5725,22.165,27.47,25.475,27.51,33.5575,26.9025,27.385,36.4375,37.0975,36.47
"ALDH3B1 (ENSG00000006534.11)",112.1275,117.52,107.6775,0.405,0.225,0.4525,46.3525,42.04,40.89,18.4775,13.925,12.4525,26.255,25.075,29.795,1.2425,1.915,1.6975
"TTC22 (ENSG00000006555.6)",4.59,5.0125,3.885,15.7625,17.005,16.71,0.78,0.66,0.78,14.7175,15.7275,14.0775,0,0,0,0.075,0.0425,0
"PHTF2 (ENSG00000006576.12)",15.6025,13.5325,13.625,11.67,8.775,9.9825,39.22,36.935,34.915,29.835,27.705,30.2975,17.3175,14.5125,13.185,54.7325,47.99,45.34
"CCL26 (ENSG00000006606.4)",3.985,3.3025,3.2475,15.61,11.6925,11.3975,0.565,0.2675,1.2825,13.2675,6.1775,7.15,1.0675,0.39,0.9625,0,0,0
"FARP2 (ENSG00000006607.9)",40.2125,43.525,45.0575,21.27,20.4925,20.2325,33.8925,32.46,32.43,15.045,17.3,19.67,16.775,21.315,23.3925,17.735,17.6825,13.795
"USH1C (ENSG00000006611.11)",78.9925,81.845,82.275,0.695,0.1175,0,0,0,0,0.195,0,0,0.21,0,0.165,0,0,0
"GGCT (ENSG00000006625.13)",135.8925,121.11,120.5825,202.4825,176.9775,170.9225,149.24,148.8575,153.465,160.5825,172.365,173.955,162.55,137.2275,132.79,686.2725,616.9575,622.025
"DBF4 (ENSG00000006634.3)",45.0575,46.365,44.305,30.3275,25.02,21.875,43.325,42.005,43.845,48.6025,46.9675,50.5675,33.965,34.3275,25.6675,52.425,44.9075,43.955
"TBXA2R (ENSG00000006638.7)",0.455,0.4575,0.1325,0,0,0,0.7525,0.2575,0.5,0.06,0,0.095,1.2375,0.915,1.8275,0.4625,0.465,0.3275
"IFRD1 (ENSG00000006652.9)",32.7325,38.335,41.215,37.66,80.8,90.6175,83.18,100.9225,101.23,63.43,106.2675,123.4875,43.1975,54.075,55.035,103.77,179.2725,181.9125
"COX10 (ENSG00000006695.6)",12.3625,13.0675,11.585,11.92,14.365,16.02,16.5125,16.6275,17.48,20.325,21.0625,23.01,16.9375,17.3,15.755,24.665,26.78,26.2475
"GTF2IRD1 (ENSG00000006704.6)",89.665,88.785,93.4625,27.4525,21.12,19.195,42.0825,36.3175,38.96,53.405,50.1675,50.9625,28.51,22.0575,26.7175,37.7375,54.2125,49.4775
"PAF1 (ENSG00000006712.10)",52.405,60.2525,59.7875,58.5625,51.0075,53.8525,69.07,66.595,65.7025,51.085,46.605,50.3475,57.6475,57.75,55.0025,39.2625,38.0125,37.1125
"VPS41 (ENSG00000006715.11)",45.325,40.425,39.45,70.545,64.3925,67.0625,27.915,34.615,29.235,27.65,17.1225,20.0725,23.3025,22.8875,24.05,86.0725,110.1225,99.18
