"","SW837.sgCh2.2","SW837.sgBIRC6.1","SW837.sgBIRC6.4","SNU503.sgCh2.2","SNU503.sgBIRC6.1","SNU503.sgBIRC6.4","HCC15.sgCh2.2","HCC15.sgBIRC6.1","HCC15.sgBIRC6.4","HCC95.sgCh2.2","HCC95.sgBIRC6.1","HCC95.sgBIRC6.4","JIMT1.sgCh2.2","JIMT1.sgBIRC6.1","JIMT1.sgBIRC6.4","HCC202.sgCh2.2","HCC202.sgBIRC6.1","HCC202.sgBIRC6.4"
"TSPAN6 (ENSG00000000003.10)",33.79,36.0775,35.5825,55.6475,46.36,48.7175,28.3675,26.86,26.6375,54.3025,45.2875,42.89,59.15,62.7425,65.5075,28.395,26.44,25.215
"DPM1 (ENSG00000000419.8)",150.215,144.605,146.9325,94.8975,88.4325,94.3275,54.6625,53.75,51.1675,153.8175,168.64,167.8825,326.865,315.985,308.325,123.3125,140.195,148.5825
"SCYL3 (ENSG00000000457.9)",5.0875,4.63,5.34,5.7125,5.66,4.77,2.705,2.395,2.585,1.9475,2.11,1.835,5.6,5.8475,6.055,16.45,19.45,16.7525
"C1orf112 (ENSG00000000460.12)",20.6975,18.8825,22.155,17.595,10.7725,12.1925,11.9575,12.905,12.7975,6.4075,5.755,7.205,41.2075,36.165,39.335,18.02,11.32,14.445
"CFH (ENSG00000000971.11)",0,0.03,0,0,0.075,0.0425,0.29,0,0.1275,12.9075,14.8025,13.085,0.1675,0.3975,0.38,0.435,0.5675,0.4225
"FUCA2 (ENSG00000001036.9)",84.4175,85.5725,86.07,0.54,0,0.3475,111.64,110.3975,110.7825,21.53,21.985,23.3025,80.56,82.74,76.3975,43.4425,37.5675,38.205
"GCLC (ENSG00000001084.6)",39.8325,49.075,44.0625,168.7325,196.725,193.16,281.22,347.53,348.055,286.605,335.4225,370.755,28.9975,29.8025,25.64,52.495,55.1675,47.3875
"NFYA (ENSG00000001167.10)",16.035,17.2225,15.7725,16.0975,13.91,13.5575,14.6125,16.1075,15.9325,16.965,13.6075,14.1525,22.6375,20.94,22.6475,19.81,21.4975,21.1475
"STPG1 (ENSG00000001460.13)",8.9175,8.54,9.7425,11.735,10.9875,12.715,10.4325,8.3725,9.19,10.885,8.9425,8.72,11.6175,12.565,11.3925,11.535,13.6975,14.6225
"NIPAL3 (ENSG00000001461.12)",24.6725,23.92,22.235,22.5425,26.49,26.02,23.62,23.0975,24.4475,24.3575,19.75,20.8575,33.5325,33.05,35.7725,42.235,41.175,34.975
"LAS1L (ENSG00000001497.12)",53.52,57.685,52.9725,38.7325,33.76,32.6625,50.3875,47.19,52.0625,67.305,66.1275,69.17,89.155,83.1475,83.2575,31.1775,31.895,30.78
"ENPP4 (ENSG00000001561.6)",11.4,11.57,11.3525,9.3875,8.4,9.155,3.8375,3.9425,3.7025,8.6025,6.645,7.9475,2.66,2.6925,2.645,2.37,2.3675,2.385
"SEMA3F (ENSG00000001617.7)",16.15,17.795,22.53,27.04,11.5425,8.6575,36.9325,34.07,37.5625,44.27,29.97,33.27,28.85,32.565,28.63,52.0125,38.0975,34.255
"ANKIB1 (ENSG00000001629.5)",30.51,31.255,26,24.1175,20.3625,20.4025,21.5275,22.2825,22.9225,31.77,30.1825,29.4325,29.2775,28.7025,28.31,31.67,35.215,32.475
"CYP51A1 (ENSG00000001630.11)",89.0275,91.0725,90.795,81.1425,68.2125,72.02,51.6125,47.8375,49.58,183.3575,176.845,200.66,48.7725,40.5125,36.5275,200.6625,165.495,173.4475
"KRIT1 (ENSG00000001631.10)",29.5,26.4525,27.155,32.5475,30.35,32.8825,40.7125,39.01,38.525,38.715,37.075,38.0825,19.4725,22.4375,17.845,40.4825,45.8875,46.8025
"RAD52 (ENSG00000002016.12)",8.575,8.0525,9.25,10.205,9.95,10.0675,9.785,7.2075,8.3,9.0325,10.365,9.3075,10.7875,10.7925,9.985,4.9825,4.4175,6.265
"MYH16 (ENSG00000002079.8)",0.415,0.41,0.5925,0.09,0.035,0,0.295,0.1275,0.17,0.8875,1.0275,0.1375,0.6075,0.4075,0.265,0,0.04,0.1825
"BAD (ENSG00000002330.9)",59.1575,57.0325,59.2875,56.465,44.3925,48.03,75.6725,75.155,72.5525,121.265,116.765,94.24,118.0025,110.385,116.34,163.5875,137.61,136.775
"LAP3 (ENSG00000002549.8)",170.1375,155.115,141.105,37.7825,40.0425,38.925,41.695,41.74,44.645,56.3775,58.28,59.5725,33.9075,30.3125,31.24,82.81,73.065,74.7425
"CD99 (ENSG00000002586.13)",51.47,52.7775,47.89,52.425,37.7975,41.53,360.49,347.0825,329.77,43.6725,42.2075,40.8975,107.9475,110.7775,106.16,13.35,14.9175,13.7625
"HS3ST1 (ENSG00000002587.5)",14.0875,20.2175,18.625,0.7375,0.16,0.1225,0,0,0,2.98,2.4475,2.8825,1.2875,0.2725,0.205,0,0,0
"AOC1 (ENSG00000002726.15)",51.57,58.4275,56.3275,0.1475,0,0,0,0,0,0.68,0.285,0.255,0,0.1075,0,0,0.055,0
"WNT16 (ENSG00000002745.8)",0.145,0,0.0475,0,0,0,0,0,0,0.81,1.2125,1.4225,5.2575,6.1225,5.185,0,0,0
"HECW1 (ENSG00000002746.10)",0.0825,0.335,0.24,9.73,5.16,6.2275,7.1175,6.9025,7.45,0.01,0.0225,0.0225,2.9225,2.45,3.3925,0,0,0
"MAD1L1 (ENSG00000002822.11)",67.89,71.32,68.1375,32.195,30.27,32.3725,29.4825,33.2825,33.9575,24.6625,30.7375,30.235,26.795,22.79,18.95,32.3075,40.6625,36.5125
"LASP1 (ENSG00000002834.13)",205.11,202.635,195.3675,96.9275,76.5125,70.165,298.305,277.305,303.04,154.18,126.57,129.1225,246.3525,247.0175,237.9475,340.235,276.955,278.8975
"SNX11 (ENSG00000002919.10)",24.935,23.5325,23.0875,24.6825,26.445,23.695,19.2875,18.8525,18.9625,25.0575,23.655,26.5825,23.1175,23.6,25.655,11.01,15.6725,12.94
"TMEM176A (ENSG00000002933.3)",24.06,18.0825,20.055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M6PR (ENSG00000003056.3)",111.0175,103.2825,104.3125,145.95,140.7575,156.1825,110.47,111.205,105.85,288.82,250.1075,271.275,128.05,132.67,121.055,59.68,60.5025,54.535
"KLHL13 (ENSG00000003096.9)",3.3425,3.09,3.025,15.47,7.83,6.5025,1.0025,1.2325,1.085,34.66,26.305,25.12,0.105,0.0575,0,5.1,3.65,3.2125
"CYP26B1 (ENSG00000003137.4)",0.8125,0.9675,1.0725,6.93,4.3675,4.595,0.265,0.4325,0.5875,8.68,6.9425,6.3825,5.57,5.9775,5.42,0.095,0.59,0.03
"ICA1 (ENSG00000003147.13)",33.96,43.8975,33.805,21.1075,26.5575,29.3625,0,0.2325,0.23,5.06,4.7575,5.765,2.9975,3.9525,3.3325,89.4675,116.6725,106.5875
"DBNDD1 (ENSG00000003249.9)",43.7975,38.1675,39.3575,33.195,30.54,27.3325,20.7075,18.63,21.2,13.0575,12.575,10.2575,40.74,34.2725,38.335,69.87,64.075,69.5375
"ALS2 (ENSG00000003393.10)",22.6125,19.955,18.0375,14.8575,14.485,17.1075,18.595,15.825,20.5925,9.9175,14.915,15.2,17.5925,16.955,17.4475,12.615,12.4375,12.1775
