"hgnc_symbol","gene_id","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"STC2","ENSG00000113739.6",1.49192652750931,7.20568497215743,21.328365414875,3.56660936081335e-13,6.3421447653983e-09,18.9794878250997
"CEBPG","ENSG00000153879.4",0.895408534954354,6.99175593122114,14.9474571655142,8.09420253452034e-11,7.19655547344203e-07,14.6440506767409
"IFRD1","ENSG00000006652.9",0.978792780381772,6.64219026495351,12.9787989183132,6.58232992155355e-10,3.90156635550217e-06,12.7898266101032
"TCEA1","ENSG00000187735.8",0.887754600299602,8.41295105747043,11.8405219345192,2.50681760302895e-09,1.11440576542652e-05,11.6290110464372
"PSAT1","ENSG00000135069.9",0.998578210398138,8.63919764437051,11.1643061832677,5.83342824363651e-09,2.07460042056689e-05,10.849026615604
"ZNF770","ENSG00000198146.4",0.612960271392752,6.50046837179621,10.7018235792445,1.06415982528878e-08,2.97229383288707e-05,10.2441197449669
"BIRC6","ENSG00000115760.9",-0.979112865702044,6.18668358826768,-10.4661130596444,1.45693242184333e-08,2.97229383288707e-05,9.93712556894156
"TIMM44","ENSG00000104980.3",0.488126533763343,5.43117655526096,10.5057348898939,1.38147371625018e-08,2.97229383288707e-05,9.93462442049866
"GPT2","ENSG00000166123.9",0.935544292318465,6.90815411492014,10.3884932529217,1.61763211839865e-08,2.97229383288707e-05,9.87069711813323
"SARS","ENSG00000031698.8",0.808199620295522,7.57884716767047,10.3208839164841,1.77284152834117e-08,2.97229383288707e-05,9.79619520741003
"LONP1","ENSG00000196365.7",0.707312478775608,7.14886993048003,10.2407387118954,1.97739521167043e-08,2.97229383288707e-05,9.68762150134978
"RBCK1","ENSG00000125826.15",0.727820949982999,6.71504879512061,10.2302973693821,2.00582195448458e-08,2.97229383288707e-05,9.66991568987324
"YARS","ENSG00000134684.6",0.477778980502729,8.07712721857688,10.093190147033,2.42177969695838e-08,3.31262204394723e-05,9.50348574825112
"XPOT","ENSG00000184575.7",0.800831404227651,8.84739000704286,9.99061527830078,2.79195058889174e-08,3.54617609797664e-05,9.37531644710648
"SLC6A9","ENSG00000196517.7",1.18271973781159,5.32635559276376,9.92956400017913,3.04017002489939e-08,3.6040202255174e-05,9.163164873521
"ASNS","ENSG00000070669.12",1.13241779548452,8.23549511802034,9.68979219134502,4.2639453777042e-08,4.19749094642529e-05,8.9686363420473
"ZFAND1","ENSG00000104231.6",0.738993956277788,6.24021688857469,9.70367654108738,4.18053932861348e-08,4.19749094642529e-05,8.95354245406257
"PCK2","ENSG00000100889.7",1.11386168210603,6.96675184363643,9.67320879401422,4.36586647063131e-08,4.19749094642529e-05,8.93512268836628
"HSPA9","ENSG00000113013.8",0.630885390196099,9.40745949198924,9.65433328798568,4.48500326071761e-08,4.19749094642529e-05,8.923916363296
"GCC1","ENSG00000179562.2",0.574704481367459,5.9688031411745,9.56870403963273,5.07007261192064e-08,4.22488540933333e-05,8.77151510763256
"MIA2","ENSG00000150527.12",0.949998297057617,6.1381337783543,9.5789463948909,4.99604725906822e-08,4.22488540933333e-05,8.75930469552694
"ARHGEF2","ENSG00000116584.13",1.00921175175463,6.48755298720281,9.54139079247526,5.27317530387307e-08,4.22488540933333e-05,8.73742660776367
"PSPH","ENSG00000146733.9",0.728960975852295,6.10768011930678,9.51663700636183,5.46464764450943e-08,4.22488540933333e-05,8.70898476599826
"HERPUD1","ENSG00000051108.10",0.850795971070776,6.2819761668982,9.41014432891767,6.37577039163425e-08,4.72391454600168e-05,8.56354500280393
"IARS","ENSG00000196305.13",0.650576602626442,9.26878692987873,9.33822029018398,7.08060763800816e-08,5.02533727949748e-05,8.48443410960794
"SLC1A5","ENSG00000105281.8",0.502259510775346,9.25632150046086,9.31290487943246,7.34781066623183e-08,5.02533727949748e-05,8.44862403827877
"GRB10","ENSG00000106070.13",0.705003130589402,6.38198943324358,9.20169943519794,8.65356576024463e-08,5.69917430921e-05,8.27828465863308
"DDX49","ENSG00000105671.7",0.43692904036784,5.74056895631831,9.16040206205832,9.19876065071617e-08,5.84187006753696e-05,8.21732518223429
"LARS","ENSG00000133706.13",0.416574441182988,8.21555702250315,9.1117145359573,9.88825352703745e-08,6.06320428337172e-05,8.16053981301582
